Feature,,D,H,S,precision,recall,F-score,AUC,Acc,Baseline,Classifier
All Featrues,D,23,13,9,0.5476190476190477,0.5111111111111111,0.5287356321839081,0,0.5581395348837209,0.3488372093023256,5
All Featrues,H,9,25,7,0.5319148936170213,0.6097560975609756,0.5681818181818181,0,0.5581395348837209,0.3488372093023256,5
All Featrues,S,10,9,24,0.6,0.5581395348837209,0.5783132530120482,0,0.5581395348837209,0.3488372093023256,5
All Featrues,D,20,13,12,0.43478260869565216,0.4444444444444444,0.4395604395604396,0,0.43410852713178294,0.3488372093023256,5
All Featrues,H,10,19,12,0.4523809523809524,0.4634146341463415,0.4578313253012048,0,0.43410852713178294,0.3488372093023256,5
All Featrues,S,16,10,17,0.4146341463414634,0.3953488372093023,0.40476190476190477,0,0.43410852713178294,0.3488372093023256,5
